郵遞區號,電腦局號,郵務局號,局名,電腦局名,縣市,鄉鎮市區,地址,完整地址,緯度,經度
10044,000100-6,100000,臺北北門郵局,臺北901支,臺北市,中正區,忠孝西路一段120號1樓,臺北市中正區忠孝西路一段120號1樓,25.047355,121.511431
10064,000101-0,100001,臺北東門郵局,臺北1支,臺北市,中正區,信義路二段163號,臺北市中正區信義路二段163號,25.03408,121.528922
10846,000102-3,100002,臺北漢中街郵局,臺北2支,臺北市,萬華區,漢中街173號,臺北市萬華區漢中街173號,25.04132,121.507005
10847,000103-7,100003,臺北西園郵局,臺北3支,臺北市,萬華區,長沙街二段156、158、160、162號,臺北市萬華區長沙街二段156、158、160、162號,25.040769,121.501031
10851,000104-1,100004,臺北龍山郵局,臺北4支,臺北市,萬華區,廣州街67號,臺北市萬華區廣州街67號,25.036559,121.504565
10075,000105-4,100005,臺北南海郵局,臺北5支,臺北市,中正區,重慶南路二段43號,臺北市中正區重慶南路二段43號,25.031833,121.514659
10083,000106-8,100006,臺北螢橋郵局,臺北6支,臺北市,中正區,廈門街76號,臺北市中正區廈門街76號,25.02463,121.517368
10644,000107-1,100007,臺北青田郵局,臺北7支,臺北市,大安區,和平東路一段155號,臺北市大安區和平東路一段155號,25.026851,121.531151
10041,000108-5,100008,臺北復興橋郵局,臺北8支,臺北市,中正區,忠孝西路一段1號,臺北市中正區忠孝西路一段1號,25.046041,121.519409
10444,000109-9,100009,臺北中山郵局,臺北9支,臺北市,中山區,中山北路一段142號,臺北市中山區中山北路一段142號,25.051515,121.522121
10343,000110-1,100010,臺北迪化街郵局,臺北10支,臺北市,大同區,迪化街一段38號,臺北市大同區迪化街一段38號,25.054805,121.510023
10356,000111-4,100011,臺北圓環郵局,臺北11支,臺北市,大同區,重慶北路二段15號,臺北市大同區重慶北路二段15號,25.054665,121.514425
10051,000112-8,100012,行政院郵局,臺北12支,臺北市,中正區,北平東路2號(行政院內),臺北市中正區北平東路2號(行政院內),25.04687,121.521525
10091,000113-1,100013,臺北公館郵局,臺北13支,臺北市,中正區,羅斯福路四段74號(B1),臺北市中正區羅斯福路四段74號(B1),25.015428,121.534035
10048,000114-5,100014,國史館郵局,臺北14支,臺北市,中正區,博愛路168號之1,臺北市中正區博愛路168號之1,25.039789,121.511064
10048,000115-9,100015,總統府郵局,臺北15支,臺北市,中正區,重慶南路一段122號(總統府內),臺北市中正區重慶南路一段122號(總統府內),25.039824,121.511596
10449,000117-6,100017,臺北雙連郵局,臺北17支,臺北市,中山區,中山北路二段96號,臺北市中山區中山北路二段96號,25.059406,121.522548
10566,000118-0,100018,臺北松山郵局,臺北18支,臺北市,松山區,八德路四段626號,臺北市松山區八德路四段626號,25.049869,121.574143
10048,000120-5,100020,臺北法院郵局,臺北20支,臺北市,中正區,博愛路127號(司法大廈內),臺北市中正區博愛路127號(司法大廈內),25.038072,121.511139
10357,000121-9,100021,臺北臺北橋郵局,臺北21支,臺北市,大同區,民權西路246號,臺北市大同區民權西路246號,25.062796,121.512683
10610,000122-2,100022,臺北師大郵局,臺北22支,臺北市,大安區,和平東路一段162號,臺北市大安區和平東路一段162號,25.025924,121.528313
10617,000123-6,100023,臺大郵局,臺北23支,臺北市,大安區,羅斯福路四段1號(台灣大學內),臺北市大安區羅斯福路四段1號(台灣大學內),25.018646,121.537433
10651,000124-0,100024,臺北仁愛路郵局,臺北24支,臺北市,大安區,仁愛路三段47號,臺北市大安區仁愛路三段47號,25.038628,121.535569
10051,000125-3,100025,立法院郵局,臺北25支,臺北市,中正區,濟南路一段1號,臺北市中正區濟南路一段1號,25.043253,121.519897
10682,000126-7,100026,臺北信維郵局,臺北26支,臺北市,大安區,信義路四段74號,臺北市大安區信義路四段74號,25.033141,121.546419
10479,000127-1,100027,臺北建北郵局,臺北27支,臺北市,中山區,建國北路二段33號,臺北市中山區建國北路二段33號,25.055026,121.537185
11163,000128-4,100028,士林郵局,臺北28支,臺北市,士林區,文林路162號,臺北市士林區文林路162號,25.089289,121.526882
11670,000129-8,100029,文山景美郵局,臺北29支,臺北市,文山區,羅斯福路六段389號,臺北市文山區羅斯福路六段389號,24.992446,121.540901
10084,000130-0,100030,臺北古亭郵局,臺北30支,臺北市,中正區,南昌路二段232號,臺北市中正區南昌路二段232號,25.023693,121.524667
10869,000131-3,100031,臺北東園郵局,臺北31支,臺北市,萬華區,東園街148、150號,臺北市萬華區東園街148、150號,25.023318,121.497552
10666,000132-7,100032,臺北光華郵局,臺北32支,臺北市,大安區,新生北路一段7之2號,臺北市大安區新生北路一段7之2號,25.045154,121.533162
10047,000133-1,100033,臺北南陽郵局,臺北33支,臺北市,中正區,信陽街8號,臺北市中正區信陽街8號,25.044638,121.516071
10488,000134-4,100034,臺北中崙郵局,臺北34支,臺北市,中山區,復興北路40號,臺北市中山區復興北路40號,25.049404,121.543718
10862,000135-8,100035,臺北莒光郵局,臺北35支,臺北市,萬華區,莒光路210號,臺北市萬華區莒光路210號,25.031396,121.501124
10555,000136-1,100036,臺北光復郵局,臺北36支,臺北市,松山區,八德路三段240號,臺北市松山區八德路三段240號,25.047994,121.557611
